Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Attainment,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %,DNW Delta
"Congressional District 7 (116th Congress), California",87335.0,778765.0,38.5,39766.0,78488.0,497320.0,316832.0,67992.0,248803.0,54416.0,44006.0,1358.0,06,07,2021,21.8711189173764,21.45995354004646,-0.4111653773299402
"Congressional District 8 (116th Congress), California",60500.0,749184.0,34.2,26734.0,125466.0,464137.0,280336.0,91233.0,237112.0,64309.0,22399.0,999.0,06,08,2021,27.121782111407267,32.544161292163686,5.422379180756419
"Congressional District 9 (116th Congress), California",78431.0,796370.0,35.3,32349.0,100239.0,507233.0,308704.0,85948.0,255477.0,60284.0,25228.0,1167.0,06,09,2021,23.596644707742772,27.841556960713174,4.244912252970401
"Congressional District 10 (116th Congress), California",74420.0,764549.0,34.8,31055.0,95682.0,483131.0,292809.0,81974.0,244078.0,52084.0,18527.0,1169.0,06,10,2021,21.339080130122337,27.99572417514489,6.656644045022553
"Congressional District 11 (116th Congress), California",106592.0,767298.0,40.0,55882.0,67384.0,489879.0,317482.0,66901.0,244419.0,44422.0,64502.0,1824.0,06,11,2021,18.174528166795543,21.072375756735816,2.897847589940273
"Congressional District 12 (116th Congress), California",127278.0,757251.0,38.3,80577.0,78325.0,548173.0,322442.0,45364.0,288909.0,39299.0,102125.0,2021.0,06,12,2021,13.602553053037461,14.068886807549886,0.46633375451242465
"Congressional District 13 (116th Congress), California",92969.0,772203.0,37.2,52685.0,95022.0,532291.0,332815.0,64784.0,262499.0,44759.0,84110.0,1703.0,06,13,2021,17.051112575666956,19.465468803990206,2.41435622832325
"Congressional District 14 (116th Congress), California",129943.0,747495.0,40.2,63506.0,48940.0,497139.0,313730.0,51859.0,253091.0,37069.0,71636.0,2436.0,06,14,2021,14.646510543638454,16.52981863385714,1.8833080902186854
"Congressional District 15 (116th Congress), California",130999.0,796865.0,39.1,55497.0,46734.0,526560.0,321207.0,70211.0,265251.0,40521.0,80323.0,2168.0,06,15,2021,15.27647398124795,21.85849000800107,6.58201602675312
"Congressional District 16 (116th Congress), California",52403.0,747131.0,31.0,21945.0,175339.0,468615.0,275302.0,91111.0,237297.0,62910.0,12289.0,856.0,06,16,2021,26.511081050329334,33.094928478543565,6.583847428214231
