Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Attainment,Median Rent,state,Year,state_code,geometry,id,properties,Male DNW %,Female DNW %,DNW Delta,Poverty Rate
Vermont,60076.0,624977.0,42.9,33238.0,67034.0,408173.0,267247.0,37897.0,202629.0,31667.0,47484.0,846.0,50,2018,50,<fiona.model.Geometry object at 0x000001BBBA294DC0>,50,<fiona.model.Properties object at 0x000001BBBA295000>,15.628069032566907,14.180514654982096,-1.4475543775848116,10.725834710717354
Utah,68374.0,3045350.0,30.7,28239.0,309904.0,1903984.0,1113176.0,251984.0,962982.0,123759.0,144145.0,862.0,49,2018,49,<fiona.model.Geometry object at 0x000001BBBA2964A0>,49,<fiona.model.Properties object at 0x000001BBBA294E80>,12.851642086767978,22.636492342630454,9.784850255862477,10.176301574531664
Virginia,71564.0,8413774.0,38.1,37763.0,893580.0,5525973.0,3465247.0,691214.0,2747162.0,467073.0,692598.0,1015.0,51,2018,51,<fiona.model.Geometry object at 0x000001BBBA295270>,51,<fiona.model.Properties object at 0x000001BBBA295180>,17.002018810685353,19.947034078667407,2.945015267982054,10.620442146413726
Washington,70116.0,7294336.0,37.6,36888.0,821621.0,4769656.0,2940132.0,628189.0,2413997.0,411961.0,471410.0,1051.0,53,2018,53,<fiona.model.Geometry object at 0x000001BBBA2956F0>,53,<fiona.model.Properties object at 0x000001BBBA295600>,17.065514165924814,21.366013498713663,4.300499332788849,11.263821683015424
West Virginia,44921.0,1829054.0,42.4,25479.0,315464.0,1154525.0,764176.0,206413.0,579347.0,165943.0,75727.0,523.0,54,2018,54,<fiona.model.Geometry object at 0x000001BBBA295D20>,54,<fiona.model.Properties object at 0x000001BBBA295900>,28.643110260344837,27.01118590481774,-1.6319243555270972,17.247385807089348
Wisconsin,59209.0,5778394.0,39.3,32018.0,668220.0,3714752.0,2350115.0,357967.0,1871572.0,274973.0,285851.0,703.0,55,2018,55,<fiona.model.Geometry object at 0x000001BBBA2962C0>,55,<fiona.model.Properties object at 0x000001BBBA295A80>,14.69208772091055,15.231892907368362,0.5398051864578122,11.564112796739025
Wyoming,62268.0,581836.0,37.3,32295.0,63311.0,371202.0,225085.0,39569.0,192174.0,25335.0,26978.0,715.0,56,2018,56,,,,13.183365075400419,17.579581047159962,4.396215971759544,10.88124488687534
Puerto Rico,20166.0,3386941.0,40.9,12451.0,1495160.0,2152377.0,1483102.0,613572.0,1031169.0,467858.0,117015.0,368.0,72,2018,72,,,,45.37161221875367,41.37085648862991,-4.000755730123757,44.144849290259266
Alabama,48486.0,4864680.0,38.9,26846.0,829400.0,3110864.0,2033053.0,541630.0,1521242.0,386291.0,221842.0,562.0,01,2018,1,<fiona.model.Geometry object at 0x000001BBB6E3F4F0>,1,<fiona.model.Properties object at 0x000001BBB6E3ED10>,25.393132716556604,26.64121397720571,1.248081260649105,17.049425655952703
Alaska,76715.0,738516.0,34.0,35874.0,77865.0,493100.0,271605.0,54640.0,260986.0,39623.0,36794.0,1117.0,02,2018,2,<fiona.model.Geometry object at 0x000001BBB6E3E740>,2,<fiona.model.Properties object at 0x000001BBB6E3E830>,15.18204041596101,20.117449973306826,4.935409557345816,10.543441171213622
Arizona,56213.0,6946685.0,37.4,29265.0,1092192.0,4340506.0,2783409.0,671721.0,2181503.0,478815.0,362611.0,843.0,04,2018,4,<fiona.model.Geometry object at 0x000001BBB6E3EF20>,4,<fiona.model.Properties object at 0x000001BBB6E3E950>,21.948858195473488,24.133032551091127,2.184174355617639,15.72249209515042
Arkansas,45726.0,2990671.0,37.9,25635.0,510337.0,1876572.0,1216265.0,303826.0,931439.0,229009.0,115355.0,540.0,05,2018,5,<fiona.model.Geometry object at 0x000001BBB6E3D870>,5,<fiona.model.Properties object at 0x000001BBB6E3F310>,24.58658054902146,24.980246903429762,0.3936663544083032,17.06429761080373
California,71228.0,39148760.0,36.3,35021.0,5487141.0,25793738.0,15762112.0,4021848.0,12989472.0,2712829.0,2222636.0,1309.0,06,2018,6,<fiona.model.Geometry object at 0x000001BBB0F2A4D0>,6,<fiona.model.Properties object at 0x000001BBB6BAFDC0>,20.884828882959983,25.515920709102943,4.63109182614296,14.016129757366517
Colorado,68811.0,5531141.0,36.6,36415.0,590504.0,3668510.0,2202573.0,415223.0,1868659.0,269549.0,409786.0,1078.0,08,2018,8,<fiona.model.Geometry object at 0x000001BBB6DB21A0>,8,<fiona.model.Properties object at 0x000001BBB6DB2BF0>,14.42472917744757,18.851724778247984,4.426995600800414,10.675988914403014
Delaware,65627.0,949495.0,40.2,33989.0,109798.0,602664.0,401249.0,77978.0,294098.0,58916.0,62275.0,933.0,10,2018,10,<fiona.model.Geometry object at 0x000001BBB6BAEF80>,10,<fiona.model.Properties object at 0x000001BBB6BAFA30>,20.032778189583063,19.433817903596022,-0.5989602859870402,11.563831299796208
District of Columbia,82604.0,684498.0,33.9,53321.0,109497.0,491563.0,304853.0,54889.0,235044.0,44542.0,100571.0,1398.0,11,2018,11,<fiona.model.Geometry object at 0x000001BBB6BAF580>,11,<fiona.model.Properties object at 0x000001BBB6BAFF10>,18.950494375521178,18.005071296657732,-0.9454230788634455,15.996686622897364
Connecticut,76106.0,3581504.0,40.8,43056.0,348449.0,2337011.0,1513475.0,275800.0,1157089.0,203664.0,309751.0,973.0,09,2018,9,<fiona.model.Geometry object at 0x000001BBB6BAE8F0>,9,<fiona.model.Properties object at 0x000001BBB6BAEFB0>,17.601411818796997,18.22296370934439,0.6215518905473942,9.72912497096192
Florida,53267.0,20598139.0,41.9,30197.0,2983851.0,12867933.0,8731856.0,1956400.0,6369003.0,1458166.0,1081844.0,960.0,12,2018,12,<fiona.model.Geometry object at 0x000001BBB6BAD360>,12,<fiona.model.Properties object at 0x000001BBB6BAF790>,22.89472936344982,22.405316807789777,-0.48941255566004216,14.486022256670857
Georgia,55679.0,10297484.0,36.5,29523.0,1607714.0,6729931.0,4199466.0,1031281.0,3295639.0,724625.0,564866.0,765.0,13,2018,13,<fiona.model.Geometry object at 0x000001BBB6BAFD90>,13,<fiona.model.Properties object at 0x000001BBB6BAFF70>,21.98739000236373,24.557431825855954,2.5700418234922253,15.61268752638994
Idaho,53089.0,1687809.0,36.1,26772.0,228882.0,1044736.0,651833.0,141263.0,526809.0,84017.0,65700.0,690.0,16,2018,16,<fiona.model.Geometry object at 0x000001BBB6E3FF70>,16,<fiona.model.Properties object at 0x000001BBB6E3DC60>,15.94828486225558,21.67165516320898,5.723370300953402,13.560894627294912
Hawaii,78084.0,1422029.0,38.9,34035.0,137516.0,901490.0,574608.0,107400.0,461659.0,80804.0,72121.0,1412.0,15,2018,15,<fiona.model.Geometry object at 0x000001BBB6E3C460>,15,<fiona.model.Properties object at 0x000001BBB6BAF370>,17.50296214305364,18.691003257873195,1.1880411148195549,9.670407565527848
Illinois,63575.0,12821497.0,37.9,34463.0,1635603.0,8339771.0,5259365.0,1099619.0,4153662.0,788428.0,847698.0,846.0,17,2018,17,<fiona.model.Geometry object at 0x000001BBB6E3FBE0>,17,<fiona.model.Properties object at 0x000001BBB6E3EC50>,18.981515587931806,20.907828226411365,1.9263126384795584,12.75672411731641
Indiana,54325.0,6637426.0,37.6,28461.0,908359.0,4247455.0,2686423.0,550951.0,2120628.0,391662.0,304487.0,634.0,18,2018,18,<fiona.model.Geometry object at 0x000001BBB6E3F910>,18,<fiona.model.Properties object at 0x000001BBB6E3F6D0>,18.469151590943813,20.50872107631598,2.0395694853721658,13.685410579342053
Iowa,58580.0,3132499.0,38.1,31085.0,353634.0,1971042.0,1260300.0,184323.0,996714.0,131704.0,132751.0,621.0,19,2018,19,<fiona.model.Geometry object at 0x000001BBB6E3FA00>,19,<fiona.model.Properties object at 0x000001BBB6E3F8B0>,13.213820614539376,14.62532730302309,1.4115066884837137,11.28919753845093
Kansas,57422.0,2908776.0,36.5,30757.0,350280.0,1834788.0,1148502.0,207133.0,929036.0,137423.0,168742.0,633.0,20,2018,20,<fiona.model.Geometry object at 0x000001BBB6E3FD60>,20,<fiona.model.Properties object at 0x000001BBB6E3FB80>,14.791999448891108,18.03505784056101,3.2430583916699014,12.04217856582975
Kentucky,48392.0,4440204.0,38.7,26948.0,772080.0,2851283.0,1815808.0,439126.0,1422503.0,336295.0,211163.0,568.0,21,2018,21,<fiona.model.Geometry object at 0x000001BBB6E3FF40>,21,<fiona.model.Properties object at 0x000001BBB6E3FE50>,23.641074922161852,24.183503982799945,0.5424290606380922,17.38839026315007
Louisiana,47942.0,4663616.0,36.6,27027.0,878394.0,3001273.0,1899577.0,492139.0,1482497.0,386592.0,173858.0,676.0,22,2018,22,<fiona.model.Geometry object at 0x000001BBB6E3C040>,22,<fiona.model.Properties object at 0x000001BBB6E3C190>,26.077084810289666,25.907820530570753,-0.169264279718913,18.835041307002978
Maine,55425.0,1332813.0,44.6,31253.0,161743.0,850181.0,571970.0,94949.0,419936.0,70966.0,78014.0,724.0,23,2018,23,<fiona.model.Geometry object at 0x000001BBB6E3CB50>,23,<fiona.model.Properties object at 0x000001BBB6E3C130>,16.899241789225023,16.600346172002027,-0.2988956172229962,12.13546086360202
Maryland,81868.0,6003435.0,38.6,40517.0,553496.0,3933873.0,2507920.0,461622.0,1923424.0,334160.0,522662.0,1201.0,24,2018,24,<fiona.model.Geometry object at 0x000001BBB6E3C340>,24,<fiona.model.Properties object at 0x000001BBB6E3D090>,17.373184487663668,18.406567992599445,1.0333835049357774,9.219655080799576
Massachusetts,77378.0,6830193.0,39.4,41794.0,710305.0,4541767.0,2923609.0,496578.0,2231787.0,372191.0,637628.0,1083.0,25,2018,25,<fiona.model.Geometry object at 0x000001BBB6E3D7B0>,25,<fiona.model.Properties object at 0x000001BBB6E3CDF0>,16.67681548463182,16.985103001119505,0.3082875164876846,10.399486515241955
Michigan,54938.0,9957488.0,39.7,30336.0,1457008.0,6407005.0,4116152.0,884935.0,3191303.0,670280.0,559642.0,691.0,26,2018,26,<fiona.model.Geometry object at 0x000001BBB6E3CE80>,26,<fiona.model.Properties object at 0x000001BBB6E3C3D0>,21.00333312129873,21.499084581910484,0.49575146061175346,14.632284769010015
Minnesota,68411.0,5527358.0,37.9,36245.0,547442.0,3548896.0,2214315.0,302637.0,1790497.0,220049.0,315403.0,850.0,27,2018,27,<fiona.model.Geometry object at 0x000001BBB6DB3520>,27,<fiona.model.Properties object at 0x000001BBB6DB2FE0>,12.289827908117132,13.66729665833452,1.3774687502173872,9.904225490731738
Mississippi,42009.0,2986220.0,36.9,22500.0,620007.0,1904412.0,1222036.0,343055.0,930656.0,268594.0,112174.0,549.0,28,2017,28,<fiona.model.Geometry object at 0x000001BBB5E2BAF0>,28,<fiona.model.Properties object at 0x000001BBB6DB3910>,28.860717601347865,28.07241357865071,-0.7883040226971545,20.762268017761585
Missouri,51542.0,6075300.0,38.4,28282.0,861679.0,3888473.0,2492623.0,501525.0,1932597.0,384652.0,318072.0,602.0,29,2017,29,<fiona.model.Geometry object at 0x000001BBB6E3CD00>,29,<fiona.model.Properties object at 0x000001BBB5E2B760>,19.90337354347544,20.12037119131132,0.21699764783588193,14.183316050236202
Montana,50801.0,1029862.0,39.8,28706.0,144198.0,652060.0,413871.0,73038.0,330394.0,51941.0,49649.0,647.0,30,2017,30,<fiona.model.Geometry object at 0x000001BBB6E3EF80>,30,<fiona.model.Properties object at 0x000001BBB6E3D060>,15.720927135480668,17.647527852881694,1.9266007174010262,14.001681778723752
Nebraska,56675.0,1893921.0,36.3,29866.0,220330.0,1196115.0,746428.0,110579.0,604625.0,69158.0,88669.0,624.0,31,2017,31,<fiona.model.Geometry object at 0x000001BBB6E3D210>,31,<fiona.model.Properties object at 0x000001BBB6E3D120>,11.43816415133347,14.814422824438527,3.376258673105056,11.633536984911197
Nevada,55434.0,2887725.0,37.7,28450.0,405263.0,1872156.0,1145714.0,273885.0,947563.0,193475.0,111435.0,864.0,32,2017,32,<fiona.model.Geometry object at 0x000001BBB6E3D3F0>,32,<fiona.model.Properties object at 0x000001BBB6E3D300>,20.41816744638615,23.905180524982676,3.487013078596526,14.033988693521717
New Hampshire,71305.0,1331848.0,42.7,36914.0,104470.0,882974.0,560201.0,89255.0,442476.0,60469.0,97891.0,928.0,33,2017,33,<fiona.model.Geometry object at 0x000001BBB6E3CC70>,33,<fiona.model.Properties object at 0x000001BBB6E3D4E0>,13.666051944060243,15.932674165165718,2.266622221105475,7.843988202857984
New Jersey,76475.0,8960161.0,39.6,39069.0,938252.0,5843216.0,3724619.0,801106.0,2895430.0,545767.0,658970.0,1111.0,34,2017,34,<fiona.model.Geometry object at 0x000001BBB6E3DAE0>,34,<fiona.model.Properties object at 0x000001BBB6E3D660>,18.84925555098897,21.508401261981426,2.659145710992455,10.471374342492282
New Mexico,46718.0,2084828.0,37.3,25257.0,420293.0,1315026.0,836158.0,218968.0,657694.0,167314.0,115064.0,679.0,35,2017,35,<fiona.model.Geometry object at 0x000001BBB6E3D9F0>,35,<fiona.model.Properties object at 0x000001BBB6E3C070>,25.439490097218464,26.18739520521241,0.7479051079939474,20.159600696076605
Alabama,46472.0,4850771.0,38.7,25746.0,849699.0,3114104.0,2022516.0,548988.0,1523699.0,391605.0,216001.0,544.0,01,2017,1,<fiona.model.Geometry object at 0x000001BBB6E3F4F0>,1,<fiona.model.Properties object at 0x000001BBB6E3ED10>,25.700942246467314,27.14381493150116,1.4428726850338478,17.51678238366643
Alaska,76114.0,738565.0,33.9,35065.0,73380.0,497113.0,271063.0,54569.0,263457.0,38473.0,35770.0,1091.0,02,2017,2,<fiona.model.Geometry object at 0x000001BBB6E3E740>,2,<fiona.model.Properties object at 0x000001BBB6E3E830>,14.603142068724688,20.13148234912179,5.528340280397101,9.935482997434214
Arizona,53510.0,6809946.0,37.2,27964.0,1128046.0,4264979.0,2718818.0,675354.0,2142775.0,481490.0,347309.0,810.0,04,2017,4,<fiona.model.Geometry object at 0x000001BBB6E3EF20>,4,<fiona.model.Properties object at 0x000001BBB6E3E950>,22.47039469846344,24.839985611394365,2.3695909129309243,16.564683479134782
Arkansas,43813.0,2977944.0,37.9,24426.0,524211.0,1874894.0,1209967.0,309885.0,930196.0,231280.0,111094.0,527.0,05,2017,5,<fiona.model.Geometry object at 0x000001BBB6E3D870>,5,<fiona.model.Properties object at 0x000001BBB6E3F310>,24.863577138581547,25.611029061123155,0.7474519225416074,17.603118124450962
California,67169.0,38982847.0,36.1,33128.0,5773408.0,25761610.0,15665864.0,4118996.0,12965637.0,2795142.0,2135376.0,1227.0,06,2017,6,<fiona.model.Geometry object at 0x000001BBB0F2A4D0>,6,<fiona.model.Properties object at 0x000001BBB6BAFDC0>,21.55807693829466,26.29281091678059,4.734733978485927,14.81012405276608
New York,62765.0,19798228.0,38.4,35752.0,2908471.0,13072630.0,8376770.0,1887291.0,6425092.0,1394060.0,1516018.0,1075.0,36,2017,36,<fiona.model.Geometry object at 0x000001BBB6E3DC30>,36,<fiona.model.Properties object at 0x000001BBB6E3D720>,21.69712122410076,22.53005633436277,0.8329351102620102,14.690562205870142
North Carolina,50320.0,10052564.0,38.4,28123.0,1579871.0,6506782.0,4163053.0,964826.0,3199754.0,678462.0,520695.0,661.0,37,2017,37,<fiona.model.Geometry object at 0x000001BBB6E3CC10>,37,<fiona.model.Properties object at 0x000001BBB6E3DEA0>,21.203567524253426,23.17592401538006,1.9723564911266322,15.716099892524932
North Dakota,61285.0,745475.0,35.1,34256.0,79374.0,485083.0,288453.0,38947.0,255581.0,25707.0,26075.0,695.0,38,2017,38,<fiona.model.Geometry object at 0x000001BBB6E3E020>,38,<fiona.model.Properties object at 0x000001BBB6E3CC40>,10.058259416779807,13.502026326645936,3.443766909866129,10.647439551963513
Ohio,52407.0,11609756.0,39.3,29011.0,1683890.0,7446170.0,4790552.0,962672.0,3698735.0,719827.0,591026.0,607.0,39,2017,39,<fiona.model.Geometry object at 0x000001BBB6E3E230>,39,<fiona.model.Properties object at 0x000001BBB6E3E140>,19.461437491466675,20.09522075952834,0.6337832680616629,14.504094659698275
Oklahoma,49767.0,3896251.0,36.3,26461.0,612714.0,2468931.0,1548840.0,374410.0,1239290.0,257726.0,151995.0,592.0,40,2017,40,<fiona.model.Geometry object at 0x000001BBB6E3C7C0>,40,<fiona.model.Properties object at 0x000001BBB6E3DF00>,20.79626237603789,24.173575062627513,3.3773126865896224,15.725732248769393
Oregon,56119.0,4025127.0,39.2,30410.0,587248.0,2604986.0,1658211.0,347918.0,1303298.0,251992.0,238020.0,854.0,41,2017,41,<fiona.model.Geometry object at 0x000001BBBA294130>,41,<fiona.model.Properties object at 0x000001BBBA294D00>,19.334948722395033,20.981527682544623,1.64657896014959,14.589552081213835
