Name,Household Income,Population,Median Age (male),Median age (female),Total Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Degree Obtained,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %
"Congressional District 10 (116th Congress), New York",103575,763710,36.5,37.2,36.8,79783,110281,502641,323367,61618,247302,45204,107525,1901,36,10,2021,18.27886552,19.05512931
"Congressional District 11 (116th Congress), New York",81867,761248,38.5,41.9,40.3,38913,91045,486105,319326,80039,239669,53991,60153,1406,36,11,2021,22.52731893,25.06498062
"Congressional District 12 (116th Congress), New York",120915,741461,36.9,36,36.5,100851,72574,538675,343726,52498,263356,36859,128994,2264,36,12,2021,13.9958839,15.2732118
"Congressional District 13 (116th Congress), New York",48638,780893,34.6,37.9,36.2,31751,188064,536323,340042,80836,260468,65987,56707,1233,36,13,2021,25.33401416,23.77235753
"Congressional District 14 (116th Congress), New York",66714,717057,37.1,38.7,37.9,31257,96224,481250,290802,69308,248901,49796,41323,1531,36,14,2021,20.00634791,23.83339867
"Congressional District 15 (116th Congress), New York",34252,755887,30.3,34.5,32.5,18827,249335,493705,309249,99030,233742,75641,16123,1068,36,15,2021,32.36089363,32.02273896
"Congressional District 16 (116th Congress), New York",79013,774781,38.4,42.2,40.4,50302,88067,489478,336397,68159,233320,49343,75353,1401,36,16,2021,21.14820847,20.26147677
"Congressional District 17 (116th Congress), New York",109618,761994,37.6,40.3,38.9,52466,76642,473033,303940,56733,239080,44497,83008,1608,36,17,2021,18.61176175,18.6658551
"Congressional District 18 (116th Congress), New York",94053,743362,38.3,41,39.7,45080,68629,477038,298935,59151,242197,48688,65295,1223,36,18,2021,20.10264372,19.78724472
"Congressional District 19 (116th Congress), New York",70565,701650,43.7,46.1,45,38163,77120,444127,292481,53239,228132,54647,54084,878,36,19,2021,23.95411428,18.20254991
"Congressional District 20 (116th Congress), New York",75361,743851,38.2,40.4,39.3,40854,80746,488374,318771,54394,241212,42973,70983,938,36,20,2021,17.81544865,17.06366012
"Congressional District 21 (116th Congress), New York",62887,708621,39.7,43.1,41.2,32652,83015,454348,282364,56443,240106,58550,44248,752,36,21,2021,24.38506326,19.98944625
"Congressional District 22 (116th Congress), New York",59751,697709,39.8,42.4,41,31929,96905,441771,288772,60049,224147,51183,41514,667,36,22,2021,22.83456839,20.79460613
"Congressional District 23 (116th Congress), New York",57407,694520,39.7,41.9,40.8,31164,97785,441058,287549,58485,223853,54337,45504,693,36,23,2021,24.27351878,20.3391422
"Congressional District 24 (116th Congress), New York",64433,716288,39.1,41.2,40.2,34970,95203,457000,299135,57320,226938,46780,52127,778,36,24,2021,20.61355965,19.16191686
"Congressional District 25 (116th Congress), New York",65722,730626,37.8,40.6,39.1,37437,97761,470218,312049,53292,229602,44571,67113,874,36,25,2021,19.41228735,17.0780871
"Congressional District 26 (116th Congress), New York",55738,738583,37.1,39.6,38.4,33248,123894,480111,316996,60893,234979,47691,54693,739,36,26,2021,20.29585623,19.20939065
"Congressional District 27 (116th Congress), New York",71541,720710,42.8,46,44.4,38582,57770,452791,297975,49321,231315,43805,58421,732,36,27,2021,18.93737976,16.55205974
"Congressional District 1 (116th Congress), North Carolina",50212,741907,36.8,39.6,38.1,29847,136670,480030,319655,71294,230988,63170,42861,685,37,1,2021,27.34774101,22.30342088
"Congressional District 2 (116th Congress), North Carolina",78555,892874,38.2,39.8,39,38595,84173,566956,354578,77591,281000,46751,60524,805,37,2,2021,16.63736655,21.88263231
"Congressional District 3 (116th Congress), North Carolina",56212,752206,34.6,40.9,37.5,30205,100596,475962,296029,67227,251377,47102,34351,711,37,3,2021,18.73759334,22.7095994
"Congressional District 4 (116th Congress), North Carolina",80354,867309,34.3,35.9,35.2,44621,86665,603717,366033,70210,295152,46268,98427,1123,37,4,2021,15.67599068,19.18133065
"Congressional District 5 (116th Congress), North Carolina",52773,756848,39.9,42.1,41,30608,117263,480579,320539,70439,236678,53265,37211,653,37,5,2021,22.50526031,21.97517307
"Congressional District 6 (116th Congress), North Carolina",57137,789755,40.2,42.2,41.1,31862,113181,494506,330528,71324,241483,51601,36268,645,37,6,2021,21.3683779,21.57880724
"Congressional District 7 (116th Congress), North Carolina",56624,772968,40.6,43.5,42.1,32559,116454,478356,328062,70080,235257,50988,37063,748,37,7,2021,21.67331897,21.36181575
"Congressional District 8 (116th Congress), North Carolina",59198,805788,34.4,38,36.1,30823,107071,512533,321568,72165,257333,48478,40061,761,37,8,2021,18.83862544,22.44159867
"Congressional District 9 (116th Congress), North Carolina",69676,764664,38.5,40.4,39.5,40207,100046,481491,309953,73020,237245,51469,48602,729,37,9,2021,21.69445088,23.55841047
"Congressional District 10 (116th Congress), North Carolina",55461,769560,40.8,43.4,42.1,31013,101561,483881,326739,70895,237307,49227,37055,659,37,10,2021,20.74401514,21.69774652
"Congressional District 11 (116th Congress), North Carolina",52667,766426,43.8,46.7,45.3,30559,102299,465963,328690,65580,231986,52143,41121,642,37,11,2021,22.47678739,19.95193039
"Congressional District 12 (116th Congress), North Carolina",66749,895417,33.4,35,34.2,38546,105527,618389,370679,69649,299379,42514,67426,1101,37,12,2021,14.20072884,18.78957265
"Congressional District 13 (116th Congress), North Carolina",57508,791300,38.6,40.6,39.6,32527,108166,507933,334747,70188,247378,46059,40219,738,37,13,2021,18.61887476,20.96747693
"Congressional District (at Large) (116th Congress), North Dakota",68131,773344,34.6,36.1,35.2,37343,80390,489773,295845,39871,257247,28239,32085,764,38,0,2021,10.97738749,13.47698964
"Congressional District 1 (116th Congress), Ohio",67294,763591,35.7,38.1,37,37809,101619,487696,307856,55031,242669,43271,53470,728,39,1,2021,17.83128459,17.8755652
"Congressional District 2 (116th Congress), Ohio",65340,732156,38.6,41.2,39.8,38045,91470,462255,302070,59350,229324,43111,49080,708,39,2,2021,18.79916625,19.64776376
"Congressional District 3 (116th Congress), Ohio",53818,804631,32.1,33.3,32.7,29069,152296,542853,325427,62875,267217,45188,39781,812,39,3,2021,16.91060075,19.32076933
"Congressional District 4 (116th Congress), Ohio",60187,715108,39.9,41.7,40.8,31125,80190,447896,288320,53123,229091,45466,27600,589,39,4,2021,19.84626197,18.42501387
"Congressional District 5 (116th Congress), Ohio",65721,728981,38.6,40.8,39.7,35214,70758,454400,298280,48448,227228,34149,39424,627,39,5,2021,15.02851761,16.24245675
"Congressional District 6 (116th Congress), Ohio",53167,689093,42.1,45.1,43.6,28785,98574,423053,281579,64192,216315,51424,25759,529,39,6,2021,23.77273883,22.79715462
"Congressional District 7 (116th Congress), Ohio",62453,737294,39.5,42.1,40.8,31205,84377,448135,298394,55521,224689,34292,30114,597,39,7,2021,15.26198434,18.60660737
"Congressional District 8 (116th Congress), Ohio",65725,742413,37.9,40.1,39,32889,80787,464613,301087,56021,231868,40689,35953,658,39,8,2021,17.54834647,18.60625002
"Congressional District 9 (116th Congress), Ohio",49073,707993,37.5,39.8,38.6,29392,133264,456512,294404,56367,226244,47728,30494,650,39,9,2021,21.09580807,19.14613932
"Congressional District 10 (116th Congress), Ohio",60211,727632,37.2,40.5,38.9,33910,100608,457714,304121,56377,225837,40946,50028,692,39,10,2021,18.13077574,18.5376873
"Congressional District 11 (116th Congress), Ohio",43082,690420,36.6,40.4,38.6,31853,159217,440881,301126,61998,209143,55755,40486,699,39,11,2021,26.65879327,20.58872366
"Congressional District 12 (116th Congress), Ohio",82486,801233,38.2,40.1,39.1,43347,68993,511230,320988,55142,259045,40493,67015,854,39,12,2021,15.63164701,17.17883535
"Congressional District 13 (116th Congress), Ohio",50500,703031,39.5,42,40.8,28939,117613,448613,300139,59179,222703,44522,30916,638,39,13,2021,19.99164807,19.7171977
"Congressional District 14 (116th Congress), Ohio",75337,726849,42.4,45.6,43.9,42235,57540,445856,302422,48921,224228,32684,51920,817,39,14,2021,14.5762349,16.17640251
"Congressional District 15 (116th Congress), Ohio",72124,764503,37.5,39.2,38.3,37097,81086,502229,305188,55250,259925,53910,50251,853,39,15,2021,20.74059825,18.10359516
"Congressional District 16 (116th Congress), Ohio",75265,734995,41.7,44.8,43.3,40073,50571,450744,305448,48686,225540,28774,52263,798,39,16,2021,12.75782566,15.9392106
"Congressional District 1 (116th Congress), Oklahoma",61601,822185,35.6,37.6,36.6,34819,110152,515561,328483,68452,255754,43598,40558,748,40,1,2021,17.04684971,20.83882575
"Congressional District 2 (116th Congress), Oklahoma",47813,726329,38.7,40.9,39.8,25394,131290,440140,290459,75128,222279,64533,21556,522,40,2,2021,29.03243221,25.86526842
"Congressional District 3 (116th Congress), Oklahoma",57700,783317,35.9,37.8,36.9,29124,111376,491097,303087,67971,255773,56319,29794,597,40,3,2021,22.01913415,22.42623405
"Congressional District 4 (116th Congress), Oklahoma",61545,797930,35.2,37.5,36.4,31460,101311,511930,318505,70573,260124,51443,37589,714,40,4,2021,19.77633744,22.15757994
"Congressional District 5 (116th Congress), Oklahoma",57157,818375,34.4,36.1,35.3,33369,129724,519666,326060,73715,256392,47896,44223,729,40,5,2021,18.68077007,22.60780224
"Congressional District 1 (116th Congress), Oregon",86649,856074,37.5,39,38.3,44200,73009,563818,349034,67008,284434,42267,68330,1343,41,1,2021,14.86003783,19.1981297
"Congressional District 2 (116th Congress), Oregon",61570,843033,40.7,42.8,41.7,32861,106563,508643,341641,67661,258345,55894,43450,889,41,2,2021,21.63541001,19.80470728
"Congressional District 3 (116th Congress), Oregon",76658,844479,37.8,38.5,38.1,42100,101923,582999,352613,59237,294752,46396,70908,1255,41,3,2021,15.74069048,16.79943734
"Congressional District 4 (116th Congress), Oregon",57728,818485,40.3,42.7,41.4,32177,125405,511415,347329,69164,255332,55590,44373,917,41,4,2021,21.77165416,19.91310832
"Congressional District 5 (116th Congress), Oregon",72367,845106,38.6,40.6,39.6,37471,91617,524262,343889,68035,263606,47658,48458,1084,41,5,2021,18.07925465,19.78400007
"Congressional District 1 (116th Congress), Pennsylvania",98257,728310,42.5,44.9,43.7,49781,39653,462972,304684,48232,232202,29863,66531,1182,42,1,2021,12.86078501,15.83017159
"Congressional District 2 (116th Congress), Pennsylvania",50539,741528,33.9,36.6,35.2,26831,176674,478128,301607,74633,233587,64778,31396,878,42,2,2021,27.73185152,24.74511533
"Congressional District 3 (116th Congress), Pennsylvania",54143,736685,33.1,35.3,34.2,38519,152040,508458,331820,67129,239792,59820,65676,1010,42,3,2021,24.9466204,20.23054668
"Congressional District 4 (116th Congress), Pennsylvania",97690,750478,40.1,42.7,41.3,52434,43689,474148,312800,46176,236584,34134,78899,1240,42,4,2021,14.42785649,14.76214834
"Congressional District 5 (116th Congress), Pennsylvania",76124,728014,37.1,39.9,38.5,42880,80852,465398,306942,56841,225957,41823,57021,986,42,5,2021,18.50927389,18.51848232
"Congressional District 6 (116th Congress), Pennsylvania",92406,748941,38.5,40.6,39.5,48586,67305,474099,304261,53874,236326,31549,70149,1045,42,6,2021,13.34977954,17.70650856
"Congressional District 7 (116th Congress), Pennsylvania",72587,742270,39.1,41.9,40.4,37640,77085,471644,308236,54607,236503,39876,46657,983,42,7,2021,16.86067407,17.71597088
