Name,Household Income,Population,Median Age (male),Median age (female),Total Median Age,Per Capita Income,Poverty Count,Total Work Force,Total Female Workforce,Total Female Did Not Work,Total Male Workforce,Total Male Did Not Work,Masters Degree Obtained,Median Rent,state,congressional district,Year,Male DNW %,Female DNW %
"Congressional District 1 (116th Congress), Texas",56227,720481,36.3,38.4,37.4,28842,114045,442395,290424,68972,218861,47256,25348,729,48,1,2021,21.59178657,23.748726
"Congressional District 2 (116th Congress), Texas",84530,814155,34.4,35.9,35.2,44325,86555,538211,321589,75333,268868,39903,58647,1202,48,2,2021,14.84111162,23.42524154
"Congressional District 3 (116th Congress), Texas",104676,910097,36.7,38.1,37.4,49602,58667,603799,358819,81291,301154,38395,99593,1368,48,3,2021,12.74929106,22.65515483
"Congressional District 4 (116th Congress), Texas",64245,783941,38.1,39.7,38.9,32341,95325,482903,311579,71717,241534,51392,32057,719,48,4,2021,21.2773357,23.01727652
"Congressional District 5 (116th Congress), Texas",59889,773738,35.1,37.3,36.1,28887,98912,489163,295012,73152,252761,56171,26597,892,48,5,2021,22.22296952,24.79627947
"Congressional District 6 (116th Congress), Texas",76960,821592,34.2,36.4,35.4,34040,78231,537046,329709,69803,261825,39411,44111,1065,48,6,2021,15.05242051,21.1710933
"Congressional District 7 (116th Congress), Texas",77323,791353,34.3,35.8,35.1,49730,87774,520094,310696,72304,258945,34754,67712,1181,48,7,2021,13.42138292,23.27162242
"Congressional District 8 (116th Congress), Texas",80724,901501,37.1,37.6,37.3,39783,90220,578108,343784,91038,299496,64857,48300,1058,48,8,2021,21.65538104,26.48116259
"Congressional District 9 (116th Congress), Texas",52440,765963,33.1,34.6,33.8,25107,142995,512930,309876,79510,248464,48515,32555,928,48,9,2021,19.52596754,25.65865056
"Congressional District 10 (116th Congress), Texas",85693,921341,35.2,36.4,35.7,40932,79496,599752,358481,78533,303374,42845,67321,1179,48,10,2021,14.12283188,21.90715826
"Congressional District 11 (116th Congress), Texas",65164,771174,34.6,36.5,35.5,33907,94108,473437,294776,70745,242953,39116,26788,842,48,11,2021,16.10023338,23.99957934
"Congressional District 12 (116th Congress), Texas",76977,846301,35.1,36.2,35.7,38156,79784,550720,340519,75014,270380,39965,46144,1067,48,12,2021,14.78104889,22.02931408
"Congressional District 13 (116th Congress), Texas",57354,709295,35.5,37.6,36.5,29409,95651,442681,269901,60100,231985,50519,22531,697,48,13,2021,21.77683902,22.26742398
"Congressional District 14 (116th Congress), Texas",69431,771651,36.6,37.8,37.3,34455,95680,495427,298354,76605,256330,62464,30002,885,48,14,2021,24.36858737,25.67587497
"Congressional District 15 (116th Congress), Texas",50864,803835,30.3,32.2,31.2,21777,193072,495756,296987,90148,248420,58600,23599,675,48,15,2021,23.589083,30.35419059
"Congressional District 16 (116th Congress), Texas",52510,755415,31.1,34.3,32.6,24982,138084,482257,291212,80030,244026,47550,30820,774,48,16,2021,19.48562858,27.48169718
"Congressional District 17 (116th Congress), Texas",60005,802448,32.2,34,33.1,31533,131032,536867,321128,72077,270745,53474,43914,906,48,17,2021,19.75068792,22.44494407
"Congressional District 18 (116th Congress), Texas",51725,789886,32.6,33.3,33,29630,167750,530609,305324,85551,268468,60056,32733,908,48,18,2021,22.36989138,28.01974296
"Congressional District 19 (116th Congress), Texas",55571,728159,32.6,34.2,33.4,28730,110555,466497,279630,63807,242076,51222,27853,738,48,19,2021,21.15947058,22.81836713
"Congressional District 20 (116th Congress), Texas",57043,798649,31.6,33.8,32.7,27122,137383,526618,312675,71675,266671,51075,37008,913,48,20,2021,19.15281377,22.92316303
"Congressional District 21 (116th Congress), Texas",78381,826193,37.5,38.9,38.2,47599,81273,547464,347973,66790,271533,39521,72968,1171,48,21,2021,14.55476867,19.19401793
"Congressional District 22 (116th Congress), Texas",103893,961113,35.8,36.8,36.4,42671,67860,616255,366329,89638,307827,49509,84828,1252,48,22,2021,16.0833845,24.46926124
"Congressional District 23 (116th Congress), Texas",63224,806245,33.3,35.1,34.2,29200,125362,507942,299264,81712,263291,56243,32808,805,48,23,2021,21.36153534,27.30431993
"Congressional District 24 (116th Congress), Texas",82358,809110,35.4,36.7,36.1,47421,58997,555207,326864,61213,278039,29990,76278,1194,48,24,2021,10.7862566,18.72736061
"Congressional District 25 (116th Congress), Texas",81467,832621,36.6,38.2,37.4,43029,78441,537350,328223,79088,271444,48831,61939,1061,48,25,2021,17.98934587,24.09581291
"Congressional District 26 (116th Congress), Texas",101044,923492,35.5,36.6,36,45663,63081,615665,362117,71658,306942,37626,72780,1231,48,26,2021,12.25834197,19.78863185
"Congressional District 27 (116th Congress), Texas",59646,739341,35.9,38,36.9,29536,115641,456705,290952,73648,229689,46205,24014,846,48,27,2021,20.11633121,25.31276637
"Congressional District 28 (116th Congress), Texas",56194,770051,31.1,33.6,32.2,23721,158410,473761,290167,85885,233519,52775,23652,750,48,28,2021,22.5998741,29.5984726
"Congressional District 29 (116th Congress), Texas",49795,734456,30.8,31.4,31,20561,163218,474524,264716,90969,245554,44287,10544,844,48,29,2021,18.03554412,34.36475317
"Congressional District 30 (116th Congress), Texas",55861,789297,31.9,33.9,32.8,26804,146289,512549,308865,82508,250876,56652,29778,996,48,30,2021,22.58167381,26.71328898
"Congressional District 31 (116th Congress), Texas",80050,914699,34.4,36,35.2,38021,80800,593691,356893,74363,297866,42798,61996,1071,48,31,2021,14.36820584,20.83621702
"Congressional District 32 (116th Congress), Texas",80661,771112,35.3,36.1,35.7,49477,78314,516571,311982,63067,257607,34192,61530,1207,48,32,2021,13.27293125,20.2149483
"Congressional District 33 (116th Congress), Texas",48371,727423,30.8,31.1,30.9,20164,150629,467720,266070,81372,237738,41887,12805,878,48,33,2021,17.61897551,30.5829293
"Congressional District 34 (116th Congress), Texas",44413,712253,31.3,34.2,32.7,20008,177204,429675,265570,80181,218280,61649,17018,608,48,34,2021,28.24308228,30.19203976
"Congressional District 35 (116th Congress), Texas",56183,805089,32.7,33.3,33,28055,139636,551517,314101,73086,283304,50774,32339,980,48,35,2021,17.92209076,23.26831179
"Congressional District 36 (116th Congress), Texas",65901,759111,36.3,37.5,36.9,31928,104643,478517,293494,84978,242963,53506,23678,879,48,36,2021,22.02228323,28.95391388
"Congressional District 1 (116th Congress), Utah",78171,792511,30.8,32,31.3,32260,66919,495740,286663,61356,252855,30691,36144,878,49,1,2021,12.13778648,21.40352958
"Congressional District 2 (116th Congress), Utah",71984,792727,33,33.7,33.4,33432,78409,497894,301002,60382,253433,35473,42798,985,49,2,2021,13.99699329,20.06033183
"Congressional District 3 (116th Congress), Utah",82471,778400,28,29.5,28.7,34999,71737,493703,288783,62147,249353,27862,44923,1081,49,3,2021,11.17371758,21.5203111
"Congressional District 4 (116th Congress), Utah",84261,867732,31,31.6,31.3,32894,61421,546222,313333,63267,277995,31387,42568,1171,49,4,2021,11.29049084,20.19161723
"Congressional District (at Large) (116th Congress), Vermont",67674,641637,41.3,43.9,42.7,37903,64962,412344,273350,37034,205971,33751,54302,932,50,0,2021,16.38628739,13.54819828
"Congressional District 1 (116th Congress), Virginia",96772,816464,38.5,40.4,39.5,43379,55260,520333,326818,62665,261779,38532,66784,1272,51,1,2021,14.71928612,19.17428049
"Congressional District 2 (116th Congress), Virginia",77519,747365,34.7,38.7,36.6,40153,61464,491635,303585,55579,251351,32323,55132,1175,51,2,2021,12.85970615,18.30755802
"Congressional District 3 (116th Congress), Virginia",60376,752479,33.4,36.7,34.9,33420,109771,495451,312171,61019,243059,43361,40721,950,51,3,2021,17.83970147,19.54665872
"Congressional District 4 (116th Congress), Virginia",65153,785406,37,39,37.9,35374,97526,522962,328874,63427,259729,53681,49338,926,51,4,2021,20.66808096,19.28610957
"Congressional District 5 (116th Congress), Virginia",61856,741491,41.1,44.5,42.8,35531,89538,461096,314585,62591,229503,54515,46136,722,51,5,2021,23.75350213,19.89637141
"Congressional District 6 (116th Congress), Virginia",60467,759456,38.7,40.7,39.7,32350,90857,482595,321212,58344,239259,44614,40764,743,51,6,2021,18.64673847,18.16370497
"Congressional District 7 (116th Congress), Virginia",87403,811302,38.5,40.9,39.7,43287,59053,514477,332575,60058,254476,38409,67519,1137,51,7,2021,15.09336833,18.05848305
"Congressional District 8 (116th Congress), Virginia",116876,796645,36.3,37.1,36.7,65061,61628,545730,325354,49865,274185,27756,135083,1848,51,8,2021,10.12309207,15.32638296
"Congressional District 9 (116th Congress), Virginia",48429,698788,41.5,45.1,43.2,27343,117020,443185,294393,71643,227544,66020,31763,542,51,9,2021,29.01416869,24.33583679
"Congressional District 10 (116th Congress), Virginia",139983,869926,38.3,39,38.6,59909,36102,561901,335527,63683,284119,35257,115694,1640,51,10,2021,12.40923697,18.97999267
"Congressional District 11 (116th Congress), Virginia",122500,803157,36.1,37.3,36.7,54655,50445,535642,322702,56746,266415,31247,113556,1828,51,11,2021,11.72869395,17.58464466
"Congressional District 1 (116th Congress), Washington",109851,778963,38,38.9,38.4,54536,51201,504586,304794,67149,258917,35200,73641,1676,53,1,2021,13.59509032,22.03094549
"Congressional District 2 (116th Congress), Washington",79553,758640,37.9,39.8,38.9,40444,72836,497534,313355,61098,253085,38543,47096,1346,53,2,2021,15.2292708,19.49801344
"Congressional District 3 (116th Congress), Washington",74610,762407,39.2,41,40.1,36804,78213,475422,307907,69087,238208,44624,39035,1143,53,3,2021,18.73320795,22.43761915
"Congressional District 4 (116th Congress), Washington",64790,744547,33.6,34.6,34.1,29273,103047,448944,273995,63753,229739,45458,27594,808,53,4,2021,19.78680154,23.26794285
"Congressional District 5 (116th Congress), Washington",61935,742007,37.2,39.1,38.1,33231,93437,473244,301789,61387,239835,47936,40397,846,53,5,2021,19.98707445,20.34103297
"Congressional District 6 (116th Congress), Washington",73806,729130,40.4,44,42.1,40248,70280,453551,299778,62339,233633,46177,45414,1119,53,6,2021,19.76475926,20.79505501
"Congressional District 7 (116th Congress), Washington",105480,787902,36.1,36.8,36.4,66731,68942,571478,337615,45837,292888,34707,107734,1675,53,7,2021,11.84992215,13.5767072
"Congressional District 8 (116th Congress), Washington",100245,772133,37.8,38.8,38.3,47128,55292,501062,301620,62246,253373,34963,52913,1371,53,8,2021,13.79902357,20.63722565
"Congressional District 9 (116th Congress), Washington",92847,765280,36,38,36.9,51888,76727,516204,304954,57422,269146,39069,70613,1585,53,9,2021,14.5159133,18.82972514
"Congressional District 10 (116th Congress), Washington",78157,776355,34.8,37.5,36.1,36155,76929,501118,310024,64709,253732,42861,39888,1271,53,10,2021,16.89223275,20.87225505
"Congressional District 1 (116th Congress), West Virginia",53134,604226,40.2,43.1,41.7,30336,88822,383874,250990,57275,196729,47295,32033,601,54,1,2021,24.04068541,22.81963425
"Congressional District 2 (116th Congress), West Virginia",56286,621999,41.7,43.8,42.7,31068,89195,386219,257395,62133,193229,47506,28470,627,54,2,2021,24.58533657,24.13916354
"Congressional District 3 (116th Congress), West Virginia",42763,574824,42.2,44.9,43.6,24609,117615,349746,239783,73766,175778,64816,21043,501,54,3,2021,36.87378398,30.7636488
"Congressional District 1 (116th Congress), Wisconsin",74404,725418,40.1,42.2,41.1,38094,60634,462461,293296,46995,234196,35230,40356,840,55,1,2021,15.04295547,16.02306203
"Congressional District 2 (116th Congress), Wisconsin",74891,783230,36,37.6,36.8,41577,80167,518584,319733,41451,262105,31268,59481,981,55,2,2021,11.92957021,12.96425455
"Congressional District 3 (116th Congress), Wisconsin",62477,731014,38.2,39.7,38.9,32934,82209,465516,294276,40646,239669,34776,31131,695,55,3,2021,14.51001172,13.81220351
"Congressional District 4 (116th Congress), Wisconsin",49504,696075,32.2,34.3,33.2,28989,147776,452238,280891,57914,219811,47802,35975,772,55,4,2021,21.74686435,20.61796213
"Congressional District 5 (116th Congress), Wisconsin",79849,732692,40.3,42.9,41.6,44252,48143,466415,305766,39036,234100,26081,48936,891,55,5,2021,11.1409654,12.76662546
"Congressional District 6 (116th Congress), Wisconsin",66072,725311,40.8,42.8,41.8,36238,59718,456631,291759,39330,237130,36025,33480,688,55,6,2021,15.19208873,13.48030395
"Congressional District 7 (116th Congress), Wisconsin",63440,729683,44,45.2,44.5,34435,69136,441725,291841,42565,227005,34398,30407,637,55,7,2021,15.1529702,14.58499662
"Congressional District 8 (116th Congress), Wisconsin",68745,748238,39.9,41.3,40.5,36783,62849,471188,300150,41536,239599,31650,32271,704,55,8,2021,13.20957099,13.83841413
"Congressional District (at Large) (116th Congress), Wyoming",68002,576641,37.8,38.7,38.2,36288,60482,360588,222884,38663,187275,24713,30947,752,56,0,2021,13.19610199,17.34669155
"Resident Commissioner District (at Large) (116th Congress), Puerto Rico",21967,3311274,41.2,44.8,43.1,14047,1400997,2094011,1486792,560520,1005686,430646,129632,392,72,98,2021,42.82111912,37.69996072
