NAME,B19013_001E,B01003_001E,B01002_001E,B19301_001E,B17001_002E,B23022_001E,B23001_088E,B23022_049E,B23022_002E,B23022_025E,B15003_023E,B25058_001E,state,congressional district,Year
"Congressional District 16 (116th Congress), California",52403.0,747131.0,31.0,21945.0,175339.0,468615.0,275302.0,91111.0,237297.0,62910.0,12289.0,856.0,06,16,2021
"Congressional District 17 (116th Congress), California",154511.0,780242.0,36.3,66292.0,45294.0,540151.0,307058.0,69714.0,285348.0,39166.0,137772.0,2648.0,06,17,2021
"Congressional District 18 (116th Congress), California",157239.0,744528.0,40.3,84340.0,39270.0,484447.0,301246.0,63000.0,246137.0,35026.0,119423.0,2351.0,06,18,2021
"Congressional District 19 (116th Congress), California",116609.0,754007.0,37.4,48549.0,58652.0,500568.0,298499.0,64022.0,258980.0,43790.0,53925.0,2053.0,06,19,2021
"Congressional District 20 (116th Congress), California",85614.0,744111.0,35.4,37350.0,83731.0,478750.0,289817.0,65329.0,245839.0,47169.0,38279.0,1646.0,06,20,2021
"Congressional District 21 (116th Congress), California",50309.0,710344.0,30.3,18604.0,150643.0,456687.0,240628.0,83699.0,249390.0,81597.0,7793.0,783.0,06,21,2021
"Congressional District 22 (116th Congress), California",70290.0,786891.0,32.9,31021.0,118829.0,485205.0,298568.0,78017.0,241923.0,54042.0,29564.0,988.0,06,22,2021
"Congressional District 23 (116th Congress), California",65784.0,771198.0,34.3,29683.0,127028.0,484874.0,288652.0,88321.0,249364.0,68867.0,28675.0,923.0,06,23,2021
"Congressional District 24 (116th Congress), California",83503.0,739183.0,36.4,41097.0,90634.0,477766.0,300027.0,61123.0,246420.0,46270.0,43018.0,1620.0,06,24,2021
"Congressional District 25 (116th Congress), California",87671.0,745689.0,36.4,35938.0,88211.0,483278.0,289254.0,83834.0,245346.0,57211.0,34003.0,1601.0,06,25,2021
"Congressional District 26 (116th Congress), California",93176.0,722958.0,38.1,41466.0,63847.0,461106.0,289785.0,65261.0,232096.0,40613.0,41566.0,1811.0,06,26,2021
"Congressional District 27 (116th Congress), California",89708.0,708388.0,41.9,43980.0,70036.0,461244.0,305012.0,63886.0,227923.0,45043.0,62200.0,1662.0,06,27,2021
"Congressional District 28 (116th Congress), California",76855.0,704354.0,40.0,51317.0,88933.0,493139.0,303977.0,57832.0,253061.0,42051.0,58330.0,1632.0,06,28,2021
"Congressional District 29 (116th Congress), California",64066.0,703638.0,35.4,26603.0,112858.0,482079.0,284695.0,75466.0,243916.0,48434.0,18570.0,1407.0,06,29,2021
"Congressional District 30 (116th Congress), California",91231.0,761222.0,39.7,49086.0,77232.0,512397.0,321021.0,65103.0,255575.0,43508.0,57690.0,1772.0,06,30,2021
"Congressional District 31 (116th Congress), California",73754.0,754741.0,33.6,30079.0,98698.0,498336.0,296753.0,80824.0,248397.0,57299.0,32725.0,1331.0,06,31,2021
"Congressional District 32 (116th Congress), California",79816.0,705766.0,37.8,29319.0,78176.0,470699.0,291872.0,69585.0,236270.0,46949.0,25709.0,1532.0,06,32,2021
"Congressional District 33 (116th Congress), California",122270.0,709488.0,40.8,80875.0,55166.0,467472.0,305358.0,62845.0,227974.0,39018.0,85625.0,2243.0,06,33,2021
"Congressional District 34 (116th Congress), California",54103.0,716495.0,35.4,29846.0,150348.0,507718.0,287678.0,72159.0,270209.0,56992.0,32590.0,1284.0,06,34,2021
"Congressional District 35 (116th Congress), California",73377.0,739237.0,33.1,25261.0,98898.0,495587.0,286662.0,84666.0,250628.0,55567.0,17540.0,1392.0,06,35,2021
"Congressional District 36 (116th Congress), California",57732.0,747370.0,42.1,33132.0,116876.0,446221.0,302352.0,77730.0,228450.0,60817.0,31653.0,1064.0,06,36,2021
"Congressional District 37 (116th Congress), California",70976.0,712613.0,36.0,42276.0,116484.0,497144.0,306804.0,69223.0,245643.0,49963.0,54523.0,1578.0,06,37,2021
"Congressional District 38 (116th Congress), California",83143.0,711540.0,37.5,31017.0,66496.0,464803.0,292557.0,70040.0,232682.0,49051.0,29348.0,1555.0,06,38,2021
"Congressional District 39 (116th Congress), California",100743.0,733331.0,39.3,42075.0,64968.0,476509.0,301240.0,67254.0,237424.0,42272.0,53930.0,1815.0,06,39,2021
"Congressional District 40 (116th Congress), California",56942.0,700867.0,32.2,20232.0,135757.0,466164.0,268118.0,86410.0,234767.0,50087.0,10399.0,1258.0,06,40,2021
"Congressional District 41 (116th Congress), California",75638.0,752956.0,31.7,26041.0,94738.0,502672.0,289314.0,88580.0,255292.0,56165.0,22572.0,1404.0,06,41,2021
"Congressional District 42 (116th Congress), California",97618.0,820055.0,35.6,35981.0,64696.0,525019.0,316089.0,88470.0,263248.0,53808.0,35872.0,1706.0,06,42,2021
"Congressional District 43 (116th Congress), California",70542.0,733353.0,36.0,32959.0,108125.0,485288.0,299348.0,71687.0,239097.0,48857.0,32686.0,1440.0,06,43,2021
"Congressional District 44 (116th Congress), California",62974.0,714444.0,33.7,23405.0,118774.0,470766.0,282228.0,87275.0,232308.0,54071.0,13972.0,1232.0,06,44,2021
"Congressional District 45 (116th Congress), California",116789.0,806990.0,39.1,54855.0,67772.0,531263.0,335943.0,75681.0,262945.0,43813.0,87006.0,2270.0,06,45,2021
"Congressional District 46 (116th Congress), California",77248.0,710498.0,33.6,27233.0,93764.0,484462.0,279683.0,72485.0,248061.0,46389.0,19808.0,1654.0,06,46,2021
"Congressional District 47 (116th Congress), California",78632.0,714590.0,37.7,37435.0,92836.0,482845.0,294356.0,67174.0,242213.0,47469.0,41363.0,1533.0,06,47,2021
"Congressional District 48 (116th Congress), California",105309.0,718069.0,42.7,57579.0,61969.0,466840.0,303779.0,61282.0,234096.0,37939.0,60200.0,2089.0,06,48,2021
"Congressional District 49 (116th Congress), California",104696.0,735611.0,38.1,52403.0,53780.0,475449.0,289776.0,64511.0,246527.0,33964.0,60999.0,1965.0,06,49,2021
"Congressional District 50 (116th Congress), California",85615.0,752367.0,37.7,37468.0,78268.0,474970.0,301103.0,73429.0,237198.0,44470.0,39264.0,1603.0,06,50,2021
"Congressional District 51 (116th Congress), California",56635.0,724859.0,33.5,23025.0,123566.0,475865.0,274230.0,82191.0,250891.0,67277.0,15312.0,1291.0,06,51,2021
